Дата приема;Фамилия;Имя;Отчество;Должность;З/П
12/30/12;Иванов;Михаил;Юрьевич;Директор;200,000.00р.
1/5/13;Михальчук;Ирина;Валентиновна;Гл. бухгалтер;100,000.00р.
1/5/13;Кононова;Виолетта;Степановна;Бухгалтер;50,000.00р.
2/20/13;Солнечная;Маргарита;Викторовна;Бухгалтер;50,000.00р.
1/6/13;Васильев;Павел;Петрович;Начальник цеха;60,000.00р.
1/6/13;Липкин;Игорь;Владимирович;Ведущий специалист;40,000.00р.
1/6/13;Васьков;Юрий;Валентинович;Специалист;30,000.00р.
1/8/13;Викторов;Андрей;Александрович;Специалист;30,000.00р.
5/8/13;Смурыгин;Дмитрий;Анатольевич;Экономист;40,000.00р.
2/10/13;Кашин;Степан;Борисович;Инженер;50,000.00р.
2/10/13;Кашин;Степан;Борисович;Инженер;50,000.00р.
2/10/13;Кашин;Степан;Борисович;Инженер;50,000.00р.
5/8/13;Смурыгин;Дмитрий;Анатольевич;Экономист;40,000.00р.
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
