№ п/п;Код ОВД;Год;Номер документа;Номер престу;Дата постановки в ИЦ;Текст решения;Дата решения;Фамилия сл-ля;Шифр докумен;Дата создания записи;Код принятого решения;Кто принял решение (код);Сообщение / Основание;Тип записи (Дисклеймер ИИ)
1;1;1013;1050301;1;18.07.2016;Возобн.приост.ст208ч.1п.1;11.07.2016;СТАРИЦИНА;3;19.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
2;1;1992;5588;1;28.07.2016;Возобн.приост.ст208ч.1п.2;07.07.2016;ИГРЮНИН;3;28.07.2016;172;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
3;1;1993;58954;1;22.07.2016;Возобн.приост.ст208ч.1п.2;22.07.2016;СТАРИЦИНА;3;02.08.2016;172;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
4;1;1993;58954;1;18.07.2016;Возобн.приост.ст208ч.1п.2;09.08.2016;ГРИГОРЬИВА;3;19.07.2016;172;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
5;1;1998;28;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
6;1;1999;28;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;08.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
7;1;1999;141;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8;1;1999;284;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
9;1;1999;339;1;31.05.2016;Возобн.приост.ст208ч.1п.1;07.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
10;1;1999;445;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
11;1;1999;729;1;31.05.2016;Возобн.приост.ст208ч.1п.1;27.04.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
12;1;1999;1049;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
13;1;1999;1205;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
14;1;1999;1275;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
15;1;1999;1332;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
16;1;1999;1675;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
17;1;1999;1781;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
18;1;1999;1837;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
